id,amount,payment_channel,device_type,transaction_time,location,high_value_tx_count,account_creation_date,is_verified,transaction_time_weekday
TX0015,699603.9170759285,ATM,iOS,2024-11-13 12:49:32.888600,"London, UK",5,2024-07-06 12:49:32.908242,True,Wednesday
TX0016,663383.1942224086,mobile,Android,2024-11-02 12:49:32.888602,"London, UK",3,2024-09-24 12:49:32.908244,False,Saturday
TX0017,676924.9628236871,ATM,Android,2024-11-03 12:49:32.888604,"New York, USA",4,2024-02-27 12:49:32.908246,True,Sunday
TX0018,417965.2472680003,web,Android,2024-10-18 12:49:32.888606,"Lagos, Nigeria",1,2024-01-18 12:49:32.908248,True,Friday
TX0019,149680.1023545782,web,Mac,2024-11-09 12:49:32.888608,"New York, USA",4,2024-02-10 12:49:32.908250,False,Saturday
TX0020,419862.32393176074,ATM,Windows,2024-11-09 12:49:32.888610,"Lagos, Nigeria",8,2024-06-10 12:49:32.908252,False,Saturday
TX0021,946570.4391325671,mobile,iOS,2024-11-03 12:49:32.888611,"London, UK",9,2023-12-29 12:49:32.908254,True,Sunday
TX0022,766308.4060860547,POS,Android,2024-10-27 12:49:32.888613,"Lagos, Nigeria",3,2024-09-22 12:49:32.908256,False,Sunday
TX0023,330958.7760054327,POS,Android,2024-10-16 12:49:32.888615,"London, UK",2,2024-09-24 12:49:32.908258,False,Wednesday
TX0024,188727.1821973795,ATM,Windows,2024-10-28 12:49:32.888617,"New York, USA",6,2024-03-03 12:49:32.908264,False,Monday
TX0025,48528.8145421571,POS,Mac,2024-10-22 12:49:32.888619,"London, UK",4,2024-02-26 12:49:32.908267,False,Tuesday
TX0026,966498.3823145077,POS,Mac,2024-11-05 12:49:32.888621,"London, UK",4,2024-06-10 12:49:32.908269,True,Tuesday
TX0027,596159.769024111,ATM,Mac,2024-11-11 12:49:32.888623,"New York, USA",8,2024-02-22 12:49:32.908271,True,Monday
TX0028,537159.5803715715,ATM,Mac,2024-10-22 12:49:32.888625,"New York, USA",6,2024-04-16 12:49:32.908273,True,Tuesday
TX0029,248839.85879040934,POS,iOS,2024-10-22 12:49:32.888627,"London, UK",7,2024-02-20 12:49:32.908274,True,Tuesday
TX0030,807478.1199799858,web,Android,2024-10-22 12:49:32.888628,"Berlin, Germany",9,2024-05-18 12:49:32.908276,False,Tuesday
TX0031,799322.0610545678,web,Mac,2024-11-05 12:49:32.888630,"London, UK",1,2024-09-17 12:49:32.908278,True,Tuesday
TX0032,10279.151708770529,POS,Android,2024-10-24 12:49:32.888632,"Lagos, Nigeria",4,2024-08-23 12:49:32.908280,True,Thursday
TX0033,288471.99097458966,POS,iOS,2024-10-27 12:49:32.888635,"Berlin, Germany",4,2024-09-30 12:49:32.908283,False,Sunday
TX0034,10755.489002321407,web,Windows,2024-11-09 12:49:32.888636,"Berlin, Germany",8,2024-11-12 12:49:32.908285,False,Saturday
TX0035,178372.49184674385,POS,Android,2024-10-17 12:49:32.888638,"Lagos, Nigeria",7,2024-10-18 12:49:32.908287,True,Thursday
TX0036,879331.5295445239,POS,Mac,2024-11-11 12:49:32.888640,"London, UK",9,2023-12-01 12:49:32.908288,True,Monday
TX0037,296632.42564800614,mobile,Mac,2024-10-21 12:49:32.888642,"New York, USA",2,2024-07-25 12:49:32.908290,True,Monday
TX0038,103828.3404699797,POS,Windows,2024-11-04 12:49:32.888644,"Berlin, Germany",6,2023-12-05 12:49:32.908292,True,Monday
TX0039,113362.70052718247,mobile,Windows,2024-10-31 12:49:32.888646,"New York, USA",5,2024-07-10 12:49:32.908294,True,Thursday
TX0040,427088.81830320606,mobile,Mac,2024-11-05 12:49:32.888647,"London, UK",2,2024-01-04 12:49:32.908296,True,Tuesday
TX0041,401783.24745979917,web,Android,2024-10-21 12:49:32.888650,"Lagos, Nigeria",3,2024-02-04 12:49:32.908299,False,Monday
TX0042,475275.7676908375,ATM,Mac,2024-10-20 12:49:32.888651,"London, UK",3,2024-01-28 12:49:32.908301,False,Sunday
TX0043,750807.3047207549,web,Android,2024-11-12 12:49:32.888653,"Lagos, Nigeria",8,2024-09-03 12:49:32.908302,False,Tuesday
TX0044,8639.129519965381,POS,Windows,2024-10-27 12:49:32.888655,"London, UK",5,2024-01-24 12:49:32.908304,False,Sunday
TX0045,98337.78330899982,mobile,Android,2024-11-08 12:49:32.888657,"London, UK",2,2024-01-27 12:49:32.908306,True,Friday
TX0046,321936.5334289065,mobile,Windows,2024-10-30 12:49:32.888659,"New York, USA",5,2024-07-15 12:49:32.908308,True,Wednesday
TX0047,938712.2413415732,web,iOS,2024-10-20 12:49:32.888661,"London, UK",2,2024-05-12 12:49:32.908310,False,Sunday
TX0048,273135.7642593781,POS,iOS,2024-11-04 12:49:32.888662,"London, UK",8,2024-09-06 12:49:32.908312,True,Monday
TX0049,666670.9272125539,mobile,iOS,2024-11-04 12:49:32.888664,"Lagos, Nigeria",5,2024-01-07 12:49:32.908314,False,Monday
TX0050,734447.3078896829,mobile,Windows,2024-11-14 12:49:32.888666,"Berlin, Germany",6,2024-05-18 12:49:32.908316,False,Thursday
TX0051,35281.02869535399,ATM,Windows,2024-10-23 12:49:32.888668,"London, UK",4,2024-01-12 12:49:32.908317,True,Wednesday
TX0052,365823.9413117576,mobile,Mac,2024-10-19 12:49:32.888670,"Berlin, Germany",6,2024-05-02 12:49:32.908319,True,Saturday
TX0053,43923.66378929475,POS,Android,2024-11-14 12:49:32.888672,"London, UK",2,2024-09-21 12:49:32.908322,True,Thursday
TX0054,389495.9407106631,POS,Android,2024-11-03 12:49:32.888674,"Lagos, Nigeria",7,2024-06-12 12:49:32.908324,False,Sunday
TX0055,531727.7457145738,POS,Windows,2024-11-14 12:49:32.888676,"Lagos, Nigeria",4,2024-01-19 12:49:32.908326,True,Thursday
TX0056,832219.9588696718,web,iOS,2024-11-02 12:49:32.888678,"Lagos, Nigeria",4,2024-01-06 12:49:32.908328,False,Saturday
TX0057,440293.96886657795,mobile,Mac,2024-11-12 12:49:32.888680,"London, UK",2,2024-06-14 12:49:32.908330,True,Tuesday
TX0058,997130.2154491775,mobile,iOS,2024-11-12 12:49:32.888681,"Berlin, Germany",4,2024-01-24 12:49:32.908332,False,Tuesday
TX0059,285289.2668026544,mobile,Mac,2024-10-22 12:49:32.888683,"Lagos, Nigeria",1,2024-08-09 12:49:32.908334,False,Tuesday
TX0060,715536.8063980856,web,Mac,2024-10-19 12:49:32.888685,"New York, USA",3,2024-04-09 12:49:32.908336,False,Saturday
TX0061,529676.0160520872,mobile,iOS,2024-11-12 12:49:32.888687,"New York, USA",7,2024-03-27 12:49:32.908337,False,Tuesday
TX0062,493432.87354144425,POS,Windows,2024-10-19 12:49:32.888689,"New York, USA",1,2024-01-05 12:49:32.908339,False,Saturday
TX0063,688465.7253228067,web,iOS,2024-10-17 12:49:32.888690,"London, UK",9,2024-09-07 12:49:32.908341,False,Thursday
TX0064,295588.5447891508,mobile,iOS,2024-11-04 12:49:32.888692,"London, UK",7,2023-11-27 12:49:32.908343,True,Monday
TX0065,537625.7751962859,web,iOS,2024-11-08 12:49:32.888694,"London, UK",3,2024-02-17 12:49:32.908345,True,Friday
TX0066,482545.43831167155,ATM,Windows,2024-10-30 12:49:32.888696,"London, UK",3,2024-09-29 12:49:32.908347,True,Wednesday
TX0067,69960.181463784,POS,Android,2024-10-22 12:49:32.888698,"Berlin, Germany",4,2024-11-12 12:49:32.908349,True,Tuesday
TX0068,82063.31309917699,ATM,Windows,2024-11-07 12:49:32.888700,"Berlin, Germany",1,2024-06-19 12:49:32.908351,False,Thursday
TX0069,183210.32724421154,mobile,Mac,2024-10-28 12:49:32.888701,"Berlin, Germany",8,2024-03-21 12:49:32.908353,False,Monday
TX0070,691532.4414882913,ATM,iOS,2024-11-01 12:49:32.888703,"Lagos, Nigeria",7,2024-09-09 12:49:32.908356,True,Friday
TX0071,875865.6754136231,web,Mac,2024-10-20 12:49:32.888705,"Lagos, Nigeria",8,2024-04-11 12:49:32.908358,False,Sunday
TX0072,42253.86812988061,ATM,Windows,2024-10-21 12:49:32.888707,"Berlin, Germany",4,2024-02-28 12:49:32.908359,True,Monday
TX0073,799119.3964828841,POS,Windows,2024-10-19 12:49:32.888709,"Lagos, Nigeria",6,2024-02-03 12:49:32.908361,True,Saturday
TX0074,347534.1016872536,ATM,Mac,2024-11-11 12:49:32.888711,"New York, USA",4,2024-04-26 12:49:32.908363,True,Monday
TX0075,191209.54294604997,mobile,Mac,2024-10-16 12:49:32.888712,"London, UK",5,2023-11-23 12:49:32.908365,True,Wednesday
TX0076,850351.4097448657,mobile,Android,2024-11-06 12:49:32.888714,"Lagos, Nigeria",5,2024-09-01 12:49:32.908367,True,Wednesday
TX0077,20797.08419571803,web,iOS,2024-11-04 12:49:32.888717,"Lagos, Nigeria",7,2024-04-06 12:49:32.908371,True,Monday
TX0078,229981.16924902133,web,Windows,2024-11-01 12:49:32.888718,"London, UK",2,2023-11-30 12:49:32.908374,True,Friday
TX0079,215325.32132415794,ATM,Android,2024-11-14 12:49:32.888720,"Berlin, Germany",3,2024-01-10 12:49:32.908379,False,Thursday
TX0080,518394.9611651364,web,Mac,2024-10-26 12:49:32.888722,"New York, USA",7,2024-10-29 12:49:32.908382,True,Saturday
TX0081,210516.32499704807,POS,iOS,2024-11-08 12:49:32.888724,"London, UK",8,2024-07-19 12:49:32.908385,False,Friday
TX0082,87236.07617851347,POS,Mac,2024-10-16 12:49:32.888726,"New York, USA",4,2024-04-19 12:49:32.908388,False,Wednesday
TX0083,243711.4183451831,ATM,iOS,2024-11-08 12:49:32.888728,"London, UK",6,2023-12-28 12:49:32.908392,True,Friday
TX0084,357791.08073333214,web,Android,2024-11-14 12:49:32.888730,"Berlin, Germany",3,2024-04-27 12:49:32.908395,False,Thursday
TX0085,544073.1199038574,web,Mac,2024-10-20 12:49:32.888732,"London, UK",1,2024-11-04 12:49:32.908398,True,Sunday
TX0086,304019.0994986371,mobile,iOS,2024-11-09 12:49:32.888734,"London, UK",2,2023-12-31 12:49:32.908401,True,Saturday
TX0087,545085.860521523,web,Android,2024-10-16 12:49:32.888735,"New York, USA",9,2024-10-28 12:49:32.908403,False,Wednesday
TX0088,101583.78652643217,POS,Android,2024-10-20 12:49:32.888737,"New York, USA",3,2024-04-03 12:49:32.908406,True,Sunday
TX0089,162998.4805304027,POS,Windows,2024-11-05 12:49:32.888739,"Berlin, Germany",1,2024-03-04 12:49:32.908409,True,Tuesday
TX0090,670119.9274782785,ATM,Android,2024-11-08 12:49:32.888741,"New York, USA",5,2024-03-11 12:49:32.908413,False,Friday
TX0091,675556.2081669603,ATM,Windows,2024-10-22 12:49:32.888742,"London, UK",9,2023-12-12 12:49:32.908418,False,Tuesday
TX0092,946040.8196191785,POS,Mac,2024-10-21 12:49:32.888744,"Berlin, Germany",2,2024-07-02 12:49:32.908421,True,Monday
TX0093,732710.7489759774,web,iOS,2024-11-09 12:49:32.888746,"New York, USA",9,2024-09-19 12:49:32.908422,True,Saturday
TX0094,983.4456437925827,mobile,Windows,2024-11-07 12:49:32.888748,"New York, USA",3,2024-07-13 12:49:32.908424,False,Thursday
TX0095,758376.7166864484,ATM,iOS,2024-10-19 12:49:32.888750,"Berlin, Germany",7,2024-07-01 12:49:32.908426,False,Saturday
TX0096,215846.89028158932,POS,Android,2024-10-30 12:49:32.888761,"Berlin, Germany",5,2023-12-25 12:49:32.908428,False,Wednesday
TX0097,547758.3967631605,mobile,iOS,2024-11-09 12:49:32.888763,"New York, USA",4,2024-10-20 12:49:32.908430,True,Saturday
TX0098,649620.3054321026,ATM,Windows,2024-10-15 12:49:32.888764,"Berlin, Germany",3,2023-12-14 12:49:32.908431,True,Tuesday
TX0099,286136.0107525111,mobile,Mac,2024-11-11 12:49:32.888766,"Berlin, Germany",9,2024-07-12 12:49:32.908433,False,Monday
TX0100,612000.4304139476,POS,iOS,2024-11-14 12:49:32.888768,"Berlin, Germany",3,2024-04-14 12:49:32.908435,False,Thursday
TX0101,304775.78850754804,ATM,Windows,2024-11-11 12:49:32.888770,"Lagos, Nigeria",4,2024-02-24 12:49:32.908437,False,Monday
TX0102,693066.4262827353,mobile,Mac,2024-11-11 12:49:32.888772,"Lagos, Nigeria",5,2024-04-18 12:49:32.908439,True,Monday
TX0103,928261.7349419374,POS,iOS,2024-10-17 12:49:32.888773,"New York, USA",8,2024-02-18 12:49:32.908441,False,Thursday
TX0104,908156.9556743959,POS,Android,2024-11-05 12:49:32.888775,"Lagos, Nigeria",7,2024-04-04 12:49:32.908442,False,Tuesday
TX0105,438538.80753302,ATM,Windows,2024-11-13 12:49:32.888777,"New York, USA",8,2024-03-16 12:49:32.908444,False,Wednesday
TX0106,235594.83895887082,ATM,Mac,2024-10-30 12:49:32.888779,"New York, USA",6,2024-09-29 12:49:32.908446,False,Wednesday
TX0107,286053.4781376528,ATM,Android,2024-10-16 12:49:32.888781,"Lagos, Nigeria",9,2024-04-03 12:49:32.908448,False,Wednesday
TX0108,316149.82111993065,ATM,Android,2024-10-27 12:49:32.888783,"London, UK",5,2024-09-17 12:49:32.908450,True,Sunday
TX0109,256806.70900084,mobile,iOS,2024-10-25 12:49:32.888786,"Lagos, Nigeria",4,2023-12-10 12:49:32.908455,False,Friday
TX0110,691747.3152884813,ATM,Mac,2024-10-21 12:49:32.888787,"Lagos, Nigeria",5,2023-12-24 12:49:32.908457,False,Monday
TX0111,906204.4005608549,web,iOS,2024-11-09 12:49:32.888789,"Lagos, Nigeria",2,2024-01-27 12:49:32.908459,False,Saturday
TX0112,698843.2147552747,mobile,iOS,2024-10-18 12:49:32.888791,"Berlin, Germany",5,2024-08-08 12:49:32.908461,True,Friday
TX0113,604747.1536112715,web,Windows,2024-10-16 12:49:32.888793,"Berlin, Germany",9,2024-06-22 12:49:32.908462,False,Wednesday
TX0114,946354.4526483058,POS,Mac,2024-10-24 12:49:32.888795,"Berlin, Germany",6,2024-03-27 12:49:32.908464,False,Thursday
TX0115,443933.7375854322,ATM,iOS,2024-11-03 12:49:32.888797,"New York, USA",6,2024-09-01 12:49:32.908466,False,Sunday
TX0116,172230.3594136628,POS,Mac,2024-11-09 12:49:32.888798,"Lagos, Nigeria",7,2024-07-29 12:49:32.908468,False,Saturday
TX0117,508323.42846854526,mobile,Windows,2024-11-09 12:49:32.888800,"New York, USA",4,2024-03-14 12:49:32.908470,True,Saturday
TX0118,327264.8963515288,ATM,Windows,2024-11-10 12:49:32.888802,"Lagos, Nigeria",8,2023-11-20 12:49:32.908472,False,Sunday
TX0119,871112.8251773748,mobile,Mac,2024-10-23 12:49:32.888804,"Berlin, Germany",6,2024-07-01 12:49:32.908474,True,Wednesday
TX0120,419470.7363632826,mobile,iOS,2024-10-24 12:49:32.888806,"Lagos, Nigeria",2,2024-02-08 12:49:32.908476,False,Thursday
TX0121,923591.0938238478,mobile,Android,2024-10-20 12:49:32.888808,"New York, USA",7,2024-08-09 12:49:32.908478,False,Sunday
TX0122,694105.834997158,ATM,iOS,2024-11-02 12:49:32.888809,"London, UK",7,2024-04-03 12:49:32.908480,True,Saturday
TX0123,818917.4147551489,web,iOS,2024-10-26 12:49:32.888811,"Lagos, Nigeria",4,2024-06-28 12:49:32.908482,True,Saturday
TX0124,404599.49093176785,ATM,Android,2024-10-31 12:49:32.888813,"New York, USA",5,2024-03-22 12:49:32.908483,False,Thursday
TX0125,587002.6442013887,POS,Windows,2024-10-28 12:49:32.888815,"New York, USA",9,2024-07-07 12:49:32.908485,False,Monday
TX0126,929526.4403601654,mobile,Mac,2024-11-12 12:49:32.888817,"Lagos, Nigeria",2,2024-06-07 12:49:32.908487,True,Tuesday
TX0127,775148.3215692689,POS,Windows,2024-10-31 12:49:32.888818,"Berlin, Germany",2,2024-10-28 12:49:32.908489,False,Thursday
TX0128,755781.3423495807,POS,Windows,2024-11-05 12:49:32.888820,"London, UK",5,2024-08-15 12:49:32.908491,True,Tuesday
TX0129,512413.96678431425,mobile,iOS,2024-10-24 12:49:32.888822,"Berlin, Germany",4,2024-03-06 12:49:32.908493,False,Thursday
TX0130,69621.70435066435,web,Windows,2024-11-10 12:49:32.888846,"New York, USA",1,2024-05-13 12:49:32.908495,False,Sunday
TX0131,944281.9399257515,POS,iOS,2024-10-25 12:49:32.888849,"London, UK",1,2024-10-09 12:49:32.908497,False,Friday
TX0132,660085.1460846625,web,Mac,2024-11-12 12:49:32.888853,"Berlin, Germany",8,2024-07-26 12:49:32.908499,False,Tuesday
TX0133,885647.9714745483,ATM,iOS,2024-11-05 12:49:32.888856,"London, UK",5,2024-09-17 12:49:32.908500,True,Tuesday
TX0134,853628.8294461087,web,Windows,2024-10-29 12:49:32.888859,"Lagos, Nigeria",4,2024-01-10 12:49:32.908502,True,Tuesday
TX0135,71053.363656668,ATM,iOS,2024-11-10 12:49:32.888863,"London, UK",2,2023-12-22 12:49:32.908504,False,Sunday
TX0136,737769.4861004879,web,Windows,2024-11-05 12:49:32.888868,"Lagos, Nigeria",6,2023-12-01 12:49:32.908506,False,Tuesday
TX0137,472260.1225840767,web,Mac,2024-11-10 12:49:32.888870,"London, UK",4,2024-01-07 12:49:32.908508,True,Sunday
TX0138,384893.93276076776,ATM,Mac,2024-10-20 12:49:32.888872,"London, UK",4,2024-07-24 12:49:32.908510,False,Sunday
TX0139,934300.4294974597,POS,Windows,2024-11-12 12:49:32.888874,"Berlin, Germany",1,2024-07-04 12:49:32.908512,True,Tuesday
TX0140,601798.6624631552,ATM,Android,2024-10-18 12:49:32.888876,"London, UK",1,2024-08-13 12:49:32.908514,True,Friday
TX0141,605380.1601649757,ATM,Android,2024-10-25 12:49:32.888878,"Berlin, Germany",9,2024-08-06 12:49:32.908516,True,Friday
TX0142,352970.9579822355,mobile,iOS,2024-11-09 12:49:32.888880,"New York, USA",9,2024-06-07 12:49:32.908518,False,Saturday
TX0143,907392.5407389798,POS,Mac,2024-10-20 12:49:32.888882,"Lagos, Nigeria",1,2024-07-17 12:49:32.908519,True,Sunday
TX0144,274885.753120394,POS,Mac,2024-11-05 12:49:32.888883,"Berlin, Germany",6,2024-11-03 12:49:32.908521,False,Tuesday
TX0145,943202.9099193666,POS,iOS,2024-11-06 12:49:32.888885,"London, UK",1,2024-01-17 12:49:32.908523,True,Wednesday
TX0146,552067.2809473174,web,iOS,2024-10-15 12:49:32.888887,"London, UK",7,2024-07-10 12:49:32.908525,False,Tuesday
TX0147,564980.2426198546,ATM,Windows,2024-10-18 12:49:32.888889,"London, UK",5,2023-12-22 12:49:32.908527,False,Friday
TX0148,578025.9712473761,POS,Android,2024-11-08 12:49:32.888891,"Berlin, Germany",9,2023-12-04 12:49:32.908529,False,Friday
TX0149,438658.30065058754,ATM,Windows,2024-11-11 12:49:32.888894,"Berlin, Germany",3,2024-05-09 12:49:32.908532,False,Monday
TX0150,739225.0668593609,ATM,Windows,2024-10-21 12:49:32.888896,"Berlin, Germany",3,2024-03-17 12:49:32.908534,True,Monday
TX0151,406181.5399482852,web,Mac,2024-10-31 12:49:32.888898,"London, UK",4,2024-02-02 12:49:32.908536,True,Thursday
TX0152,745667.7895710691,web,iOS,2024-10-26 12:49:32.888900,"London, UK",3,2024-08-28 12:49:32.908537,True,Saturday
TX0153,35660.85223772038,ATM,Mac,2024-11-06 12:49:32.888902,"Berlin, Germany",3,2024-02-19 12:49:32.908539,False,Wednesday
TX0154,362470.6078436068,ATM,Android,2024-10-16 12:49:32.888903,"Lagos, Nigeria",4,2024-09-14 12:49:32.908541,False,Wednesday
TX0155,574586.3058630484,web,Mac,2024-11-05 12:49:32.888905,"London, UK",1,2024-08-10 12:49:32.908543,True,Tuesday
TX0156,235921.3402076708,ATM,Android,2024-10-26 12:49:32.888907,"Lagos, Nigeria",9,2024-01-25 12:49:32.908545,True,Saturday
TX0157,173909.8623440218,ATM,Android,2024-11-08 12:49:32.888909,"New York, USA",1,2024-03-22 12:49:32.908547,True,Friday
TX0158,343148.87288357544,mobile,Windows,2024-11-12 12:49:32.888911,"London, UK",9,2024-10-01 12:49:32.908549,True,Tuesday
TX0159,411966.619962292,ATM,Windows,2024-10-17 12:49:32.888912,"Berlin, Germany",4,2024-04-14 12:49:32.908551,False,Thursday
TX0160,150706.84932033645,POS,iOS,2024-11-09 12:49:32.888914,"Berlin, Germany",6,2024-10-27 12:49:32.908552,False,Saturday
TX0161,737744.6621438409,web,Android,2024-11-10 12:49:32.888916,"New York, USA",6,2024-01-18 12:49:32.908554,False,Sunday
TX0162,265992.4787549553,POS,iOS,2024-10-27 12:49:32.888918,"Berlin, Germany",2,2024-08-04 12:49:32.908556,True,Sunday
TX0163,712890.0601172838,ATM,Mac,2024-11-09 12:49:32.888920,"Berlin, Germany",5,2023-12-24 12:49:32.908558,True,Saturday
TX0164,402193.1654956417,mobile,Mac,2024-11-04 12:49:32.888921,"London, UK",1,2024-07-07 12:49:32.908560,False,Monday
TX0165,826371.3963587343,ATM,iOS,2024-10-22 12:49:32.888923,"London, UK",4,2024-04-23 12:49:32.908562,True,Tuesday
TX0166,652012.5933093945,POS,Mac,2024-10-21 12:49:32.888925,"London, UK",9,2024-09-03 12:49:32.908564,True,Monday
TX0167,766310.0798373546,web,Windows,2024-11-09 12:49:32.888927,"London, UK",7,2024-08-18 12:49:32.908566,True,Saturday
TX0168,151787.50054005513,ATM,Android,2024-10-15 12:49:32.888929,"New York, USA",2,2024-01-15 12:49:32.908567,True,Tuesday
TX0169,208636.86752456892,web,iOS,2024-10-16 12:49:32.888930,"Berlin, Germany",8,2024-06-18 12:49:32.908569,True,Wednesday
TX0170,64193.50656695369,POS,Android,2024-11-04 12:49:32.888932,"London, UK",1,2024-05-09 12:49:32.908571,True,Monday
TX0171,667444.8866028008,POS,iOS,2024-10-21 12:49:32.888934,"Lagos, Nigeria",9,2023-12-17 12:49:32.908573,False,Monday
TX0172,865531.1521809569,ATM,Android,2024-10-15 12:49:32.888936,"New York, USA",2,2023-12-10 12:49:32.908575,True,Tuesday
TX0173,929988.977568972,mobile,Mac,2024-10-23 12:49:32.888938,"London, UK",1,2024-04-27 12:49:32.908578,False,Wednesday
TX0174,83940.74614289365,ATM,Android,2024-10-21 12:49:32.888940,"Berlin, Germany",6,2023-11-20 12:49:32.908581,False,Monday
TX0175,702968.7220239533,mobile,Mac,2024-10-20 12:49:32.888941,"Lagos, Nigeria",8,2024-02-09 12:49:32.908583,True,Sunday
TX0176,954114.3451391472,ATM,iOS,2024-10-27 12:49:32.888943,"Berlin, Germany",7,2024-08-31 12:49:32.908585,False,Sunday
TX0177,401908.1333462771,ATM,Mac,2024-10-22 12:49:32.888945,"Berlin, Germany",4,2023-12-31 12:49:32.908587,True,Tuesday
TX0178,132684.75526778642,web,iOS,2024-11-08 12:49:32.888947,"Lagos, Nigeria",6,2024-01-27 12:49:32.908588,True,Friday
TX0179,684744.4822921638,web,iOS,2024-11-02 12:49:32.888949,"New York, USA",1,2024-07-15 12:49:32.908590,True,Saturday
TX0180,428052.77016716497,mobile,Android,2024-11-01 12:49:32.888950,"Berlin, Germany",3,2024-09-11 12:49:32.908592,False,Friday
TX0181,977409.1001992363,ATM,Android,2024-11-05 12:49:32.888952,"London, UK",1,2024-02-08 12:49:32.908594,True,Tuesday
TX0182,578161.6444552866,POS,Windows,2024-10-19 12:49:32.888954,"London, UK",5,2024-05-17 12:49:32.908596,False,Saturday
TX0183,681880.4052128368,web,Windows,2024-10-27 12:49:32.888956,"New York, USA",8,2024-01-21 12:49:32.908598,False,Sunday
TX0184,893270.4845889828,POS,Windows,2024-10-18 12:49:32.888958,"Berlin, Germany",5,2024-01-02 12:49:32.908600,False,Friday
TX0185,966431.5314741641,mobile,Mac,2024-10-15 12:49:32.888959,"Berlin, Germany",6,2024-08-02 12:49:32.908601,True,Tuesday
TX0186,340009.90776419896,web,Mac,2024-10-21 12:49:32.888961,"Lagos, Nigeria",9,2023-11-24 12:49:32.908603,True,Monday
TX0187,18327.091168400308,web,Android,2024-11-09 12:49:32.888963,"Lagos, Nigeria",3,2024-06-16 12:49:32.908605,True,Saturday
TX0188,543951.1560501128,mobile,Windows,2024-11-05 12:49:32.888965,"Berlin, Germany",6,2024-01-17 12:49:32.908607,False,Tuesday
TX0189,978448.169329275,ATM,iOS,2024-11-13 12:49:32.888966,"New York, USA",7,2024-09-02 12:49:32.908609,False,Wednesday
TX0190,671078.8508624531,mobile,iOS,2024-10-25 12:49:32.888969,"Berlin, Germany",5,2024-07-01 12:49:32.908610,False,Friday
TX0191,565062.8965083767,web,Android,2024-10-15 12:49:32.888970,"New York, USA",4,2024-09-28 12:49:32.908612,True,Tuesday
TX0192,254501.53238724836,mobile,iOS,2024-11-11 12:49:32.888972,"London, UK",8,2023-11-18 12:49:32.908614,False,Monday
TX0193,476492.2918963625,POS,iOS,2024-11-13 12:49:32.888974,"Lagos, Nigeria",4,2024-01-21 12:49:32.908616,True,Wednesday
TX0194,242924.00752970343,web,Android,2024-10-24 12:49:32.888976,"Lagos, Nigeria",7,2024-09-11 12:49:32.908618,True,Thursday
TX0195,130309.28614436138,web,Mac,2024-11-03 12:49:32.888977,"London, UK",5,2024-03-02 12:49:32.908623,True,Sunday
TX0196,527927.9792633018,POS,iOS,2024-10-28 12:49:32.888979,"London, UK",2,2024-09-16 12:49:32.908625,False,Monday
TX0197,64899.10202906274,POS,Mac,2024-11-03 12:49:32.888981,"Lagos, Nigeria",7,2024-02-29 12:49:32.908627,False,Sunday
TX0198,803672.8138552052,web,Windows,2024-11-12 12:49:32.888983,"New York, USA",1,2024-07-17 12:49:32.908629,False,Tuesday
